block_timestamp,block_number,gas,receipt_gas_used,gas_price,value,class
1508131613,4370008,30000,21000,22050000000.0,1.8e+18,0
1508131729,4370014,90000,21000,20609467870.0,7500000000000000.0,0
1508131759,4370015,90000,21000,20609467870.0,7500000000000000.0,0
1508131783,4370016,90000,21000,20609467870.0,7500000000000000.0,0
1508131783,4370016,90000,21000,20609467870.0,7500000000000000.0,0
1508131817,4370018,90000,21000,20609467870.0,452720000000000.0,0
1508131817,4370018,90000,21000,20609467870.0,7500000000000000.0,0
1508131817,4370018,90000,21000,20609467870.0,7500000000000000.0,0
1508131817,4370018,90000,21000,20609467870.0,7500000000000000.0,0
1508131817,4370018,90000,21000,20609467870.0,7500000000000000.0,0
1508131824,4370019,90000,21000,20609467870.0,7500000000000000.0,0
1508131824,4370019,90000,21000,20609467870.0,7500000000000000.0,0
1508131824,4370019,90000,21000,20609467870.0,7500000000000000.0,0
1508131824,4370019,90000,21000,20609467870.0,7500000000000000.0,0
1508131824,4370019,90000,21000,20609467870.0,7500000000000000.0,0
1508131824,4370019,90000,21000,20609467870.0,7500000000000000.0,0
1508131852,4370021,90000,21000,20609467870.0,457060000000000.0,0
1508131896,4370022,90000,21000,20609467870.0,7500000000000000.0,0
1508131896,4370022,21000,21000,20609467870.0,4.96e+16,0
1508131896,4370022,90000,21000,20609467870.0,7500000000000000.0,0
1508131922,4370023,121000,21000,20609467870.0,2.44e+16,0
1508131922,4370023,42000,21000,61100000000.0,2.82e+18,0
1508131922,4370023,25200,21000,99999997952.0,2.15e+20,0
1508132025,4370026,121000,21000,20609467870.0,1.28e+17,0
1508132025,4370026,90000,21000,70000000000.0,1.51e+18,0
1508132052,4370027,42000,21000,61100000000.0,2.81e+18,0
1508132083,4370028,42000,21000,61100000000.0,4.27e+18,0
1508132144,4370030,121000,21000,20609467870.0,1.46e+16,0
1508132217,4370031,21000,21000,23100000000.0,5.77e+16,0
1508132268,4370035,121000,21000,20609467870.0,5.92e+16,0
1508132268,4370035,121000,21000,20609467870.0,7.25e+16,0
1508132541,4370045,21000,21000,16000000000.0,1e+18,0
1508132765,4370054,21000,21000,16000000000.0,2.6e+18,0
1508132765,4370054,21000,21000,16000000000.0,2.61e+18,0
1508132945,4370062,90000,21000,20609467870.0,1000000000000000.0,0
1508132978,4370064,90000,21000,20609467870.0,7500000000000000.0,0
1508132978,4370064,90000,21000,20609467870.0,7500000000000000.0,0
1508133013,4370067,21000,21000,23100000000.0,2.19e+17,0
1508133155,4370077,90000,21000,20609467870.0,7500000000000000.0,0
1508133155,4370077,90000,21000,20609467870.0,10000000000.0,0
1508133155,4370077,90000,21000,20609467870.0,7500000000000000.0,0
1508133155,4370077,90000,21000,20609467870.0,457630000000000.0,0
1508133213,4370080,90000,21000,20609467870.0,7500000000000000.0,0
1508133213,4370080,90000,21000,20609467870.0,7500000000000000.0,0
1508133213,4370080,90000,21000,20609467870.0,7500000000000000.0,0
1508133371,4370083,21000,21000,23100000000.0,2.58e+16,0
1508133383,4370085,121000,21000,20609467870.0,1.26e+16,0
1508133383,4370085,90000,21000,20609467870.0,7500000000000000.0,0
1508133383,4370085,90000,21000,20609467870.0,7500000000000000.0,0
1508133407,4370086,90000,21000,20609467870.0,7500000000000000.0,0
1508133407,4370086,121000,21000,20609467870.0,1.24e+16,0
1508133407,4370086,90000,21000,20609467870.0,7500000000000000.0,0
