block_timestamp,block_number,gas,receipt_gas_used,gas_price,value,class
1514924516,4843488,121000,21000,51000000000.0,5.88e+18,0
1518851388,5105285,21000,21000,128000000000.0,7.97e+17,0
1518234307,5062740,100000,21000,91000000000.0,5.54e+17,0
1509353693,4456892,25200,21000,5000000001.0,2e+18,0
1521321343,5273526,21000,21000,90000000000.0,9.98e+17,0
1519259161,5133152,21000,21000,7000000000.0,6.14e+19,0
1517014616,4978971,90000,21000,20000000000.0,1.02e+18,0
1517285133,4997719,420000,21000,50000000000.0,1e+19,0
1517662283,5023317,30000,21000,105000000000.0,2.72e+17,0
1517022560,4979516,21000,21000,20000000000.0,5.38e+19,0
1537963759,6402879,131391,71659,10000000000.0,1.35e+18,1
1518178256,5058919,45000,21000,128000000000.0,3.6e+19,0
1519761321,5167242,21000,21000,11000000000.0,2.03e+19,0
1514777756,4833617,21000,21000,21000000000.0,7.32e+16,0
1514777789,4833621,90000,21000,21000000000.0,1.1e+17,0
1517033036,4980256,21000,21000,20000000000.0,4.66e+19,0
1518858602,5105770,90000,21000,3510000000.0,6.3e+18,0
1509427365,4462118,90000,21000,8000000001.0,1.1e+17,0
1520924482,5246585,50000,21000,5625000000.0,3.44e+17,0
1518512092,5081955,21000,21000,5750000000.0,2.5e+17,0
1517926266,5041473,50000,21000,32000000000.0,4.1e+18,0
1519408315,5143261,21000,21000,19137612688.0,1.05e+18,0
1509330176,4455231,90000,21000,78000000000.0,1.77e+17,0
1508406080,4388678,30000,21000,8400000000.0,3.74e+17,0
1517350023,5002074,150000,21000,90000000000.0,1.04e+18,0
1508481283,4394088,121001,21000,27000000000.0,2.1e+17,0
1521950145,5317042,200000,21000,31800000000.0,1204580000000000.0,0
1515779430,4897259,21000,21000,60000000000.0,1e+16,1
1521280005,5270687,21000,21000,24000000000.0,9.53e+16,0
1518217021,5061558,250000,45883,24000000000.0,0.0,1
1520379661,5209436,21000,21000,15700000000.0,998200000000000.0,0
1514841917,4837973,21000,21000,60000000000.0,1.02e+18,0
1517751133,5029456,21000,21000,16000000001.0,1.69e+19,0
1531602521,5964897,21000,21000,41000000000.0,1e+18,1
1519746281,5166190,21000,21000,10600000000.0,6.02e+16,0
1530480851,5888747,21000,21000,60000000000.0,1e+18,1
1518108094,5054018,21000,21000,5000000000.0,1.34e+16,1
1517050340,4981475,35000,30981,21200000000.0,9.89e+17,0
1521880296,5312102,21000,21000,200000000.0,879800000000000.0,0
1520567986,5222265,21000,21000,117000000000.0,7.08e+17,0
1516190567,4923431,60000,33341,70000000000.0,1.09e+18,0
1520001129,5183553,21000,21000,4000000001.0,5.01e+16,0
1523478476,5423258,90000,21000,15000000000.0,6.34e+17,1
1521943159,5316524,21000,21000,4400000000.0,4e+17,0
1518549799,5084517,21000,21000,1110000001.0,4143970000000000.0,0
1514886473,4840964,250000,21000,4000000000.0,1.31e+18,0
1508225509,4375788,50000,21000,13000000000.0,6.66e+17,0
1508195558,4373694,35000,30981,4100001337.0,8.49e+16,0
1520319867,5205354,44000,21000,14000000000.0,1.3e+18,0
1521776791,5304951,21000,21000,500000000.0,5.62e+17,0
1520920564,5246351,21000,21000,4400000000.0,5.1e+16,0
1538369463,6431467,75000,71413,10000000000.0,1e+16,1
1515821700,4899946,90000,21000,77000000000.0,1.55e+16,0
1521870129,5311372,1000000,21000,60000000000.0,8e+18,0
1514893618,4841447,135546,34470,51000000000.0,5e+20,0
1537520659,6371631,81673,53610,7300000000.0,0.0,1
1517080952,4983628,21000,21000,100000000000.0,9e+16,0
1517021528,4979455,21000,21000,100000000000.0,1.16e+17,0
1521480532,5284469,21000,21000,1010000000.0,150000000000000.0,0
1522312788,5341991,21000,21000,5687500000.0,9.15e+17,0
1538023212,6407084,47338,38610,10000000000.0,0.0,1
1538384096,6432524,59173,38610,10000000000.0,0.0,1
1538366943,6431306,75000,71413,10000000000.0,1e+16,1
1519266875,5133659,200000,21000,51900000000.0,3e+16,0
1538049374,6408909,59173,38610,14000000000.0,0.0,1
1518862343,5106053,21000,21000,24000000000.0,2e+18,0
1513680308,4759515,21000,21000,40000000000.0,7.64e+17,1
1518200165,5060437,90000,21000,24000000000.0,4.94e+17,0
1514833957,4837459,50000,21000,1000000000.0,5e+16,0
1517323620,5000279,90000,21000,21000000000.0,2.28e+17,0
1537881764,6397084,120517,79419,5000000000.0,2e+17,1
1538048871,6408881,59173,38610,12000000000.0,0.0,1
1537829472,6393362,59173,38610,8500000000.0,0.0,1
1517049404,4981409,90000,21000,22900000000.0,1.59e+18,0
1519388895,5141986,21000,21000,24010000000.0,9.97e+17,0
1538024341,6407164,59173,38610,14000000000.0,0.0,1
1520002335,5183631,21000,21000,48000000000.0,4.2e+17,0
1521883855,5312358,25200,21000,2200000000.0,100000000000000.0,0
1517277624,4997209,42000,21000,20000000000.0,1.26e+18,0
1508400809,4388321,35000,30981,270000000.0,9.92e+16,0
1522246487,5337470,30000,21000,24000000000.0,1.17e+17,0
1518064420,5050997,21000,21000,9434650128.0,1.1e+18,0
1519656357,5160084,41000,21000,58000000000.0,1e+18,0
1538359418,6430778,75000,71413,10000000000.0,1e+16,1
1519966481,5181202,90000,21000,57000000000.0,1.1e+17,0
1517622576,5020513,90000,21000,130000000000.0,4.96e+17,0
1521222278,5266826,50000,21000,7500000000.0,3.77e+16,0
1519761444,5167249,21000,21000,18000000000.0,8.3e+18,0
1519538010,5152148,21000,21000,4000000001.0,4.75e+16,0
1520368561,5208671,21000,21000,18000000000.0,2.48e+17,0
1522308342,5341725,21000,21000,4125000000.0,7.32e+18,0
1537964271,6402925,210000,24336,8000000000.0,0.0,1
1521784326,5305479,21000,21000,500000000.0,4.5e+17,0
1538043655,6408512,59173,38610,10000000000.0,0.0,1
1515119723,4855909,21000,21000,51800000000.0,9.99e+17,0
1517039988,4980748,21000,21000,20000000000.0,1000000000000000.0,0
1517848094,5036133,21000,21000,24000000000.0,4.38e+17,0
1519765054,5167484,21000,21000,11342000000.0,4.58e+17,0
1519410496,5143409,90000,21000,11000000000.0,3.9e+17,0
1537877954,6396829,92000,38610,8000000000.0,0.0,1
1521461725,5283215,21000,21000,112000000000.0,1e+20,0
1517042952,4980972,21000,21000,20000000000.0,4.35e+19,0
1515358772,4870938,21000,21000,60000000000.0,1.17e+17,1
1509363861,4457647,30000,21000,6300105000.0,4.9e+17,0
1521964552,5318046,21000,21000,16000000000.0,7.33e+17,0
1517088360,4984118,150000,21000,90000000000.0,4.4e+16,0
1521113584,5259378,21000,21000,60000000000.0,2e+18,0
1517023944,4979628,25200,21000,20000000000.0,5e+18,0
1508378051,4386681,21000,21000,61000000000.0,2.76e+17,0
1538152828,6416200,85000,38610,11000000000.0,0.0,1
1508137794,4370266,21000,21000,61000000000.0,6.5e+17,0
1522125253,5329186,90000,21000,39000000000.0,1.36e+17,0
1517696475,5025641,50000,21000,31500000000.0,6.49e+16,0
1509409018,4460807,21000,21000,1100000000.0,2.05e+17,0
1515834196,4900712,25200,21000,42740297728.0,1e+18,0
1519549695,5152922,99000,21000,27000000000.0,1.02e+17,0
1520004640,5183781,90000,21000,130000000000.0,6.98e+18,0
1515834444,4900728,25200,21000,76750000000.0,4.01e+18,0
1517740181,5028691,21000,21000,15000000000.0,3.85e+16,1
1515644430,4888826,2100000,21000,93000000000.0,9.64e+19,1
1517080012,4983575,21000,21000,50000000000.0,9.99e+17,0
1508455359,4392250,21000,21000,150000000.0,1.19e+19,0
1522437008,5350550,21000,21000,3000000000.0,9.44e+17,1
1518392294,5073687,21000,21000,80000000000.0,1e+17,0
1537849762,6394826,81673,53610,12500000000.0,0.0,1
1520564812,5222034,31000,21000,100000000000.0,6.31e+17,0
1517629531,5021017,121000,21000,134000000000.0,1e+16,0
1508180037,4372549,50000,21000,13218630469.0,1.06e+17,0
1522254298,5338016,21000,21000,90000000000.0,1.1e+19,0
1517011984,4978791,21000,21000,100000000000.0,1.16e+18,0
1517903633,5039954,100000,21000,91000000000.0,5.56e+16,0
1514905411,4842224,121000,21000,51000000000.0,6.1e+17,0
1521946806,5316812,21000,21000,200000000.0,879800000000000.0,0
1508227187,4375906,35000,30981,15600000000.0,1.23e+19,0
1519203743,5129334,25200,21000,9562500000.0,1200000000000000.0,0
1519967316,5181248,21000,21000,85000000000.0,2e+19,0
